feature,mean,std,variance
H_pos_base2,0.9621189949615705,0.054301417290107415,0.0029486439197143766
H_pos_base3,1.456934991508816,0.13279473766159838,0.017634442350612733
H_pos_base4,1.7439506515997452,0.20950295108664668,0.043891486514013874
H_pos_base5,1.911442656588191,0.2634274712236017,0.06939403259526152
H_pos_base6,2.0127328577135706,0.2933038320787594,0.08602713791208508
H_pos_base7,2.0560461941858077,0.3129765201815164,0.09795430218493115
H_pos_base8,2.1053226753480647,0.31801571500866926,0.10113399499247515
H_pos_base9,2.1267414948097807,0.3226560606171854,0.10410693345300082
H_pos_base10,2.1035578680178895,0.3167590624729806,0.10033630365876162
H_pos_base11,2.129783200452166,0.3146356496400455,0.09899559202441344
H_pos_base12,2.1423686452898707,0.3140324910947793,0.09861640546319267
H_pos_base13,2.1408318114690044,0.3139236557423996,0.09854806163467263
H_pos_base14,2.1283718956604725,0.31152436679884177,0.0970474311094193
H_pos_base15,2.0901663658250986,0.3019697598912312,0.09118573588876783
H_pos_base16,2.0629074073265494,0.2853373206005768,0.08141738652751634
